"시군구별(1)",시군구별(2),2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03
"시군구별(1)",시군구별(2),합계 (명),합계 (명),합계 (명),세대수 (세대),내국인 (명),내국인 (명),내국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명)
"시군구별(1)",시군구별(2),계,남,여,소계,계,남,여,계,남,여
"합계",소계,13934407,7042497,6891910,5871380,13575936,6832830,6743106,358471,209667,148804
"수원시",소계,1218713,613735,604978,521628,1185569,597078,588491,33144,16657,16487
"용인시",소계,1091955,542640,549315,430634,1075784,533595,542189,16171,9045,7126
"성남시",소계,943369,467053,476316,409933,929463,460404,469059,13906,6649,7257
"부천시",소계,925600,487299,438301,376287,890668,462876,427792,34932,24423,10509
"화성시",소계,826187,409472,416715,346926,802473,397553,404920,23714,11919,11795
"안산시",소계,697494,359746,337748,293106,651153,333951,317202,46341,25795,20546
"안양시",소계,592564,310375,282189,264816,568405,296567,271838,24159,13808,10351
"평택시",소계,555899,274695,281204,227077,549826,271787,278039,6073,2908,3165
"시흥시",소계,543807,286226,257581,221994,512455,267788,244667,31352,18438,12914
"김포시",소계,503599,256165,247434,201184,485882,243002,242880,17717,13163,4554
"광주시",소계,399056,205302,193754,168466,388213,198100,190113,10843,7202,3641
"광명시",소계,294166,144964,149202,119232,290698,143260,147438,3468,1704,1764
"군포시",소계,325640,162827,162813,139854,323442,161709,161733,2198,1118,1080
"하남시",소계,272634,135235,137399,113280,267173,132531,134642,5461,2704,2757
"오산시",소계,238435,123675,114760,102556,229918,119410,110508,8517,4265,4252
"이천시",소계,229373,119629,109744,101499,222714,115639,107075,6659,3990,2669
"안성시",소계,200298,104786,95512,89626,189539,97908,91631,10759,6878,3881
"의왕시",소계,163465,81132,82333,65718,162493,80678,81815,972,454,518
"양평군",소계,123024,61730,61294,59376,121726,61138,60588,1298,592,706
"여주시",소계,115528,59135,56393,53170,112393,57167,55226,3135,1968,1167
"과천시",소계,78323,38539,39784,28920,78128,38430,39698,195,109,86
"고양시",소계,1090010,532941,557069,459192,1079065,527547,551518,10945,5394,5551
"남양주시",소계,741080,369071,372009,300295,734033,365062,368971,7047,4009,3038
"파주시",소계,496484,253934,242550,213810,486131,246706,239425,10353,7228,3125
"의정부시",소계,468867,230646,238221,207169,464262,228528,235734,4605,2118,2487
"양주시",소계,242919,124648,118271,102620,236239,119761,116478,6680,4887,1793
"구리시",소계,192603,95458,97145,80867,191213,94779,96434,1390,679,711
"포천시",소계,159862,87388,72474,73688,148527,78764,69763,11335,8624,2711
"동두천시",소계,96587,48517,48070,44422,93346,46590,46756,3241,1927,1314
"가평군",소계,63258,32493,30765,31896,62221,32070,30151,1037,423,614
"연천군",소계,43608,23041,20567,22139,42784,22452,20332,824,589,235
